timestamp,cycle,tile_idx,col,row,x_fs,y_fs,z_fs,error_fs_x,error_fs_y,error_mag,dz_per_col,dz_per_row,dz_per_tile,af_z,af_score,event
06:57:05.421072,1,1,0,0,4121.375,704.625,177.9375,0.676,-0.171,0.697,0.170346,0.117215,-0.006064,,,landing
06:57:05.448910,1,1,0,0,4121.375,704.625,177.9375,,,,0.170346,0.117215,-0.006064,,,capture
06:57:06.529518,1,2,0,1,4131.844,703.750,178.0312,0.688,-0.059,0.690,0.170346,0.117215,-0.006064,,,landing
06:57:06.555811,1,2,0,1,4131.844,703.750,178.0312,,,,0.170346,0.117215,-0.006064,,,capture
06:57:14.635186,1,3,0,2,4142.938,703.000,178.1875,,,,0.170346,0.117215,-0.006064,178.1875,64.7,periodic_af
06:57:15.280119,1,3,0,2,4142.938,703.000,178.2188,0.377,0.326,0.498,0.170346,0.117215,-0.006064,,,landing
06:57:15.300354,1,3,0,2,4142.938,703.000,178.2188,,,,0.170346,0.117215,-0.006064,,,capture
06:57:16.319103,1,4,0,3,4153.406,702.625,178.3438,0.462,0.468,0.658,0.170346,0.117215,-0.006064,,,landing
06:57:16.340168,1,4,0,3,4153.406,702.625,178.3438,,,,0.170346,0.117215,-0.006064,,,capture
06:57:17.331348,1,5,0,4,4164.188,702.375,178.4688,-0.209,-0.112,0.237,0.170346,0.117215,-0.006064,,,landing
06:57:17.350345,1,5,0,4,4164.188,702.375,178.4688,,,,0.170346,0.117215,-0.006064,,,capture
06:57:25.001734,1,6,0,5,4174.531,701.750,178.2500,,,,0.170346,0.117215,-0.006064,178.2500,75.3,periodic_af
06:57:25.654397,1,6,0,5,4174.531,701.750,178.2500,-0.132,0.214,0.252,0.170346,0.117215,-0.006064,,,landing
06:57:25.679233,1,6,0,5,4174.531,701.750,178.2500,,,,0.170346,0.117215,-0.006064,,,capture
06:57:26.711878,1,7,0,6,4185.188,701.438,178.3750,0.000,0.430,0.430,0.170346,0.117215,-0.006064,,,landing
06:57:26.738483,1,7,0,6,4185.188,701.438,178.3750,,,,0.170346,0.117215,-0.006064,,,capture
06:57:27.731700,1,8,0,7,4195.812,701.344,178.5000,-0.125,0.709,0.720,0.170346,0.117215,-0.006064,,,landing
06:57:27.757736,1,8,0,7,4195.812,701.344,178.5000,,,,0.170346,0.117215,-0.006064,,,capture
06:57:35.690327,1,9,0,8,4206.281,702.062,178.5938,,,,0.170346,0.117215,-0.006064,178.5938,57.7,periodic_af
06:57:36.293155,1,9,0,8,4206.281,702.062,178.5625,-0.167,0.141,0.219,0.170346,0.117215,-0.006064,,,landing
06:57:36.320691,1,9,0,8,4206.281,702.062,178.5625,,,,0.170346,0.117215,-0.006064,,,capture
06:57:37.527727,1,10,0,9,4216.312,701.688,178.6562,0.681,0.171,0.702,0.170346,0.117215,-0.006064,,,landing
06:57:37.552187,1,10,0,9,4216.312,701.688,178.6562,,,,0.170346,0.117215,-0.006064,,,capture
06:57:38.635196,1,11,0,10,4227.312,701.312,178.6875,0.195,0.675,0.703,0.170346,0.117215,-0.006064,,,landing
